Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Overhead,Jitting,1,262959,1,262959,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Jitting,1,280071,1,280071,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Overhead,Jitting,2,430951,16,26934.44,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Jitting,2,541147,16,33821.69,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,1,93695,16,5855.94,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,2,151922,32,4747.56,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,3,288156,64,4502.44,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,4,530978,128,4148.27,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,5,949016,256,3707.09,16,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,6,1965837,512,3839.53,16,0,0,1320
