Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Overhead,Jitting,1,313500,1,313500,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Jitting,1,320600,1,320600,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Overhead,Jitting,2,481500,16,30093.75,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Jitting,2,565400,16,35337.5,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,1,75400,16,4712.5,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,2,139600,32,4362.5,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,3,252100,64,3939.06,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,4,481100,128,3758.59,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,5,891400,256,3482.03,82,0,0,1320
SerialisationDetailed.DtoToProto,,SerialisationDetailed,DtoToProto,SerialisationDetailed,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,SerialisationDetailed,Size=1,1,Workload,Pilot,6,1893300,512,3697.85,82,0,0,1320
